,Date,District,PCR_Postive_Count,PCR_Positive_Hospitalised,Deceased,temperature,wind_speed,relative_humidity
6420,2022-03-04,Kaiserslautern,394,1,1,1.3,17.856,63.8
6421,2022-03-04,Westerwaldkreis,578,3,0,0.74,13.452,61.64
6422,2022-03-04,Cochem-Zell,197,0,1,2.368,7.144,58.64
6423,2022-03-04,Donnersbergkreis,178,1,1,1.76,17.856,60.32
6424,2022-03-04,Germersheim,342,0,0,1.86,17.856,51.96
6425,2022-03-04,Mainz-Bingen,546,3,0,3.2,12.64,61.16
6426,2022-03-04,Rhein-Lahn-Kreis,323,2,0,3.2,6.22,63.24
6427,2022-03-04,Neuwied,594,0,1,2.784,6.084,56.64
6428,2022-03-04,Rhein-Pfalz-Kreis,304,3,1,2.132,7.268,61.64
6429,2022-03-04,Trier-Saarburg,624,6,0,3.388,11.924,51.8
6430,2022-03-04,Vulkaneifel,242,0,0,2.368,7.144,64.36
6431,2022-03-04,Kusel,163,3,0,2.408,12.436,63.8
6432,2022-03-04,Bad Kreuznach,436,1,0,2.02,6.22,64.92
6433,2022-03-04,Mayen-Koblenz,662,5,0,2.024,6.084,63.24
6434,2022-03-04,KS Trier,421,3,0,3.388,11.924,51.8
6435,2022-03-04,Bernkastel-Wittlich,359,7,0,2.408,12.436,52.16
6436,2022-03-04,KS Koblenz,351,2,0,2.024,6.084,63.24
6437,2022-03-04,KS Landau i.d.Pf.,115,2,0,3.928,17.856,52.8
6438,2022-03-04,KS Ludwigshafen,364,2,1,3.948,7.268,54.16
6439,2022-03-04,KS Mainz,556,7,0,3.336,11.192,61.16
6440,2022-03-04,KS Neustadt a.d.W.,182,4,0,1.86,17.856,53.36
6441,2022-03-04,KS Pirmasens,148,2,1,3.456,14.208,49.4
6442,2022-03-04,KS Speyer,97,0,0,4.38,7.268,51.96
6443,2022-03-04,KS Frankenthal,136,0,0,2.388,7.268,64.6
6444,2022-03-04,KS Kaiserslautern,337,2,0,1.3,17.856,63.8
6445,2022-03-04,Birkenfeld,142,1,0,0.252,4.372,65.32
6446,2022-03-04,Alzey-Worms,327,4,0,2.24,6.22,61.16
6447,2022-03-04,Altenkirchen,350,0,0,2.94,13.452,55.68
6448,2022-03-04,Ahrweiler,357,3,0,1.924,7.144,64.36
6449,2022-03-04,KS Worms,191,3,0,2.388,7.268,64.6
6450,2022-03-05,Bad Kreuznach,281,2,0,1.332,6.168,64.92
6451,2022-03-05,Bernkastel-Wittlich,133,0,0,0.828,11.832,57.08
6452,2022-03-05,Cochem-Zell,129,0,0,1.044,7.008,64.04
6453,2022-03-05,Trier-Saarburg,334,0,0,2.044,9.58,56.64
6454,2022-03-05,Donnersbergkreis,91,0,0,0.54,18.412,61.64
6455,2022-03-05,Kaiserslautern,0,0,0,0.476,18.412,63.76
6456,2022-03-05,Neuwied,270,0,0,1.276,5.6,63.72
6457,2022-03-05,Mainz-Bingen,52,1,1,2.648,11.548,62.04
6458,2022-03-05,Mayen-Koblenz,42,0,0,0.96,5.6,67.68
6459,2022-03-05,Rhein-Lahn-Kreis,0,0,0,2.648,6.168,67.68
6460,2022-03-05,Rhein-Pfalz-Kreis,46,2,0,1.432,7.18,61.72
6461,2022-03-05,Germersheim,0,0,0,0.536,18.412,55.76
6462,2022-03-05,Alzey-Worms,16,0,0,1.184,6.168,62.04
6463,2022-03-05,Kusel,60,0,0,0.828,11.832,63.76
6464,2022-03-05,Altenkirchen,0,0,0,1.596,11.848,60.2
6465,2022-03-05,Birkenfeld,77,0,0,-0.728,4.396,68.28
6466,2022-03-05,KS Koblenz,17,0,0,0.96,5.6,67.68
6467,2022-03-05,KS Frankenthal,34,1,0,1.732,7.18,62.52
6468,2022-03-05,KS Kaiserslautern,0,0,0,0.476,18.412,63.76
6469,2022-03-05,KS Landau i.d.Pf.,0,0,0,2.552,18.412,56.32
6470,2022-03-05,KS Trier,254,0,0,2.044,9.58,56.64
6471,2022-03-05,KS Mainz,76,6,0,2.696,8.96,62.04
6472,2022-03-05,KS Neustadt a.d.W.,0,0,0,0.536,18.412,57.2
6473,2022-03-05,KS Pirmasens,0,0,0,2.02,14.172,53.36
6474,2022-03-05,Ahrweiler,251,1,0,1.168,7.008,66.84
6475,2022-03-05,Westerwaldkreis,193,0,0,-0.292,11.848,64.96
6476,2022-03-05,KS Worms,16,0,0,1.732,7.18,62.52
6477,2022-03-05,KS Ludwigshafen,59,2,0,2.24,7.18,58.72
6478,2022-03-05,Vulkaneifel,143,0,0,1.044,7.008,66.84
6479,2022-03-05,KS Speyer,17,0,0,3.02,7.18,55.76
6480,2022-03-06,Kusel,15,0,0,0.112,15.072,58.32
6481,2022-03-06,Mainz-Bingen,42,0,0,2.544,14.076,53.44
6482,2022-03-06,KS Neustadt a.d.W.,0,0,0,0.2,19.904,51.84
6483,2022-03-06,Ahrweiler,171,1,0,1.42,9.62,60.28
6484,2022-03-06,Altenkirchen,54,0,0,0.356,12.888,59.08
6485,2022-03-06,Alzey-Worms,156,0,0,1.252,7.7,53.44
6486,2022-03-06,Birkenfeld,96,0,0,-0.392,6.512,57.92
6487,2022-03-06,Cochem-Zell,169,0,0,-0.74,9.62,55.0
6488,2022-03-06,Donnersbergkreis,234,0,0,0.112,19.904,54.0
6489,2022-03-06,Germersheim,0,0,0,0.2,19.904,47.56
6490,2022-03-06,Kaiserslautern,0,0,0,0.532,19.904,58.32
6491,2022-03-06,Mayen-Koblenz,0,0,0,1.164,7.788,61.88
6492,2022-03-06,Bad Kreuznach,0,0,0,1.712,7.7,56.36
6493,2022-03-06,Bernkastel-Wittlich,32,0,0,0.112,15.072,51.68
6494,2022-03-06,Neuwied,101,0,0,0.828,7.788,56.56
6495,2022-03-06,KS Pirmasens,74,1,0,1.624,15.872,51.12
6496,2022-03-06,KS Worms,92,0,0,2.696,11.432,52.96
6497,2022-03-06,KS Trier,127,0,1,1.692,15.204,51.88
6498,2022-03-06,KS Speyer,21,0,0,3.592,11.432,47.56
6499,2022-03-06,Rhein-Pfalz-Kreis,28,0,0,2.656,11.432,51.4
6500,2022-03-06,Trier-Saarburg,116,0,0,1.692,15.204,51.88
6501,2022-03-06,Rhein-Lahn-Kreis,0,0,0,2.544,7.7,61.88
6502,2022-03-06,Westerwaldkreis,500,2,0,-0.508,12.888,56.24
6503,2022-03-06,KS Frankenthal,5,0,0,2.696,11.432,52.96
6504,2022-03-06,KS Kaiserslautern,0,0,0,0.532,19.904,58.32
6505,2022-03-06,KS Koblenz,0,0,0,1.164,7.788,61.88
6506,2022-03-06,KS Landau i.d.Pf.,19,0,0,2.808,19.904,49.76
6507,2022-03-06,KS Ludwigshafen,31,0,0,3.436,11.432,48.8
6508,2022-03-06,KS Mainz,99,0,0,2.852,13.884,53.44
6509,2022-03-06,Vulkaneifel,180,0,0,-0.74,9.62,60.28
